       	ALOX5  	BCL6   	CCL11  	CCL17  	CCL2   	CCL22  	CCL24  	CCL26  	CCL5   	CCL8   	CCR3   	CCR4   	CCR8   	CD40LG 	CMA1   	CRLF2  	CSF2   	CSF3R  	CYSLTR1	EPX    	FCER1A 	FOXP3  	GATA3  	GPR44  	ICOS   	IFNG   	IFNGR2 	IL10   	IL12A  	IL12B  	IL13   	IL13RA1	IL13RA2	IL17A  	IL17RB 	IL18   	IL1RL1 	IL21   	IL25   	IL2RA  	IL3    	IL33   	IL3RA  	IL4    	IL4R   	IL5    	IL5RA  	IL9    	KIT    	KITLG  	LTB4R  	MAF    	MMP9   	MS4A2  	PDCD1  	PPARG  	RETNLB 	RNASE2 	RNASE3 	RORC   	SATB1  	STAT5A 	STAT6  	TBX21  	TGFB1  	TNFRSF4	TNFSF4 	TSLP   
IL25   	0.0084226	0.010451	0.015208	0.01263	0.013989	0.012591	0.010643	0.012166	0.01277	0.010643	0.013469	0.011472	0.01172	0.013791	0.0086033	0.0075521	0.015344	0.0084226	0	0	0.0060919	0.014631	0.015617	0.010327	0.012549	0.015296	0.011069	0.015967	0.015171	0.015299	0.020096	0.016158	0.016158	0.01911	0.061379	0.015519	0.062561	0.016207	0.049365	0.01572	0.017612	0.053805	0.017604	0.014814	0.016406	0.02269	0.021035	0.022556	0.011172	0.011172	0	0.008668	0.013204	0.0022389	0.0063361	0.01062	0.0078536	0	0	0.013081	0.0081833	0.012703	0.015446	0.014856	0.016232	0.0094725	0.0036316	0.014428                                                   
IL2RA  	0.013106	0.017267	0.015876	0.015081	0.015956	0.015145	0.013811	0.015379	0.015479	0.013811	0.015416	0.014367	0.014578	0.017599	0.014758	0.0082671	0.016738	0.013106	0	0	0.0092127	0.017205	0.016625	0.013597	0.016651	0.016989	0.015665	0.01729	0.017431	0.017005	0.016929	0.017948	0.017948	0.016935	0.014482	0.01759	0.014605	0.017673	0.01572	0.01901	0.017727	0.015236	0.018386	0.016901	0.01775	0.01694	0.018494	0.017367	0.016097	0.016097	0	0.014352	0.015834	0.0043645	0.012485	0.014929	0.01054	0	0	0.016378	0.010927	0.016636	0.016657	0.017201	0.017158	0.027494	0.026724	0.015074                                                           
IL3    	0.015002	0.013873	0.017219	0.01652	0.01694	0.016567	0.01603	0.016489	0.017013	0.01603	0.016988	0.016347	0.016442	0.019431	0.014057	0.0087836	0.018065	0.015002	0	0	0.0089576	0.016787	0.016468	0.016008	0.016363	0.017243	0.01499	0.017412	0.016936	0.016866	0.017443	0.017244	0.017244	0.016812	0.015946	0.017314	0.016561	0.017221	0.017612	0.017727	0.01975	0.016944	0.022612	0.016797	0.017421	0.018116	0.024045	0.019345	0.015978	0.015978	0	0.013401	0.015561	0.0042055	0.011296	0.013749	0.0095877	0	0	0.015127	0.0097561	0.016129	0.016674	0.016776	0.016888	0.014228	0.0079344	0.015744                                                       
IL33   	0.0073189	0.0094053	0.01471	0.011953	0.013438	0.011903	0.009818	0.011461	0.012047	0.009818	0.012842	0.010676	0.010944	0.012986	0.0077197	0.0073333	0.01467	0.0073189	0	0	0.0055891	0.014179	0.015407	0.0094841	0.011926	0.014901	0.010613	0.015667	0.014805	0.014999	0.02052	0.015879	0.015879	0.019465	0.069698	0.015151	0.070956	0.015739	0.053805	0.015236	0.016944	0.063094	0.016882	0.014381	0.01614	0.023402	0.0193	0.022225	0.010277	0.010277	0	0.0080032	0.012815	0.0019502	0.0057456	0.010099	0.0075752	0	0	0.01272	0.007968	0.012	0.015171	0.014449	0.016106	0.0088321	0.0032424	0.014141                                                    
IL3RA  	0.018656	0.012848	0.016458	0.015135	0.016139	0.015034	0.013587	0.01539	0.015689	0.013587	0.016054	0.014221	0.014535	0.017993	0.015402	0.008335	0.020452	0.018656	0	0	0.01024	0.016117	0.016245	0.01341	0.015007	0.016877	0.012683	0.01708	0.016322	0.016172	0.017513	0.01705	0.01705	0.016278	0.015218	0.016769	0.016527	0.016987	0.017604	0.018386	0.022612	0.016882	0.042189	0.017592	0.01755	0.019416	0.024428	0.020112	0.017797	0.017797	0	0.012289	0.014119	0.0049862	0.0091791	0.013149	0.008463	0	0	0.01385	0.0087734	0.016582	0.016247	0.016205	0.015665	0.013938	0.0068651	0.015605                                                           
IL4    	0.01093	0.01466	0.01634	0.016086	0.016385	0.01605	0.015572	0.017164	0.016149	0.015572	0.016239	0.015784	0.015991	0.016535	0.017036	0.010985	0.01612	0.01093	0	0	0.017313	0.016711	0.016208	0.01544	0.016442	0.016614	0.015072	0.016688	0.017185	0.016701	0.016635	0.018174	0.018174	0.0166	0.013668	0.017793	0.013629	0.016554	0.014814	0.016901	0.016797	0.014381	0.017592	0.01693	0.017267	0.016321	0.01672	0.016483	0.017236	0.017236	0	0.016505	0.016744	0.013254	0.01458	0.017643	0.011777	0	0	0.017049	0.011308	0.016651	0.016678	0.016895	0.016707	0.016804	0.012889	0.01571                                                                    
IL4R   	0.010277	0.016874	0.016406	0.015606	0.016381	0.015533	0.014094	0.016492	0.015671	0.014094	0.015766	0.014682	0.014979	0.017115	0.016782	0.0096466	0.016517	0.010277	0	0	0.0095186	0.017469	0.017334	0.013783	0.016278	0.01744	0.016304	0.017756	0.018354	0.017819	0.018118	0.023299	0.023299	0.017508	0.015237	0.018548	0.015289	0.017553	0.016406	0.01775	0.017421	0.01614	0.01755	0.017267	0.019776	0.017286	0.017287	0.017353	0.017211	0.017211	0	0.013511	0.015979	0.0045115	0.01113	0.014771	0.015072	0	0	0.016326	0.011472	0.017541	0.018281	0.017746	0.017832	0.014764	0.0083455	0.015962                                                        
IL5    	0.012139	0.014663	0.016712	0.015932	0.016361	0.015952	0.015234	0.015942	0.016059	0.015234	0.016241	0.015561	0.015674	0.016907	0.01326	0.012067	0.016718	0.012139	0	0	0.0084517	0.016519	0.016677	0.015079	0.015351	0.016765	0.014709	0.016982	0.016922	0.016721	0.017812	0.017536	0.017536	0.01736	0.023999	0.017093	0.024811	0.016951	0.02269	0.01694	0.018116	0.023402	0.019416	0.016321	0.017286	0.018446	0.020535	0.018844	0.014939	0.014939	0	0.012427	0.015687	0.0039021	0.010311	0.014095	0.011491	0	0	0.015567	0.012566	0.015704	0.016695	0.016594	0.017049	0.012954	0.0068854	0.016126                                                        
IL5RA  	0.019605	0.013249	0.016988	0.014892	0.016047	0.014893	0.013289	0.014346	0.01566	0.013289	0.015997	0.014062	0.014291	0.018284	0.014218	0.0077179	0.021293	0.019605	0	0	0.0074837	0.015921	0.016091	0.013138	0.014641	0.016876	0.012122	0.017103	0.015627	0.015809	0.018044	0.016182	0.016182	0.016256	0.017632	0.016023	0.019296	0.017695	0.021035	0.018494	0.024045	0.0193	0.024428	0.01672	0.017287	0.020535	0.047458	0.025466	0.016927	0.016927	0	0.010602	0.013437	0.0028817	0.0079084	0.011333	0.007812	0	0	0.012941	0.008212	0.01622	0.015943	0.015819	0.015556	0.012263	0.0051998	0.015404                                                       
IL9    	0.014616	0.015807	0.016965	0.015872	0.016432	0.015895	0.015051	0.015688	0.016149	0.015051	0.016348	0.01549	0.015599	0.017305	0.013749	0.0089326	0.01783	0.014616	0	0	0.0088249	0.016475	0.016329	0.0149	0.015386	0.016845	0.013585	0.01705	0.016627	0.016502	0.017897	0.017266	0.017266	0.017117	0.022263	0.017065	0.023009	0.01744	0.022556	0.017367	0.019345	0.022225	0.020112	0.016483	0.017353	0.018844	0.025466	0.020464	0.015659	0.015659	0	0.012309	0.015132	0.0041852	0.0099859	0.013365	0.0095203	0	0	0.014857	0.0094694	0.016094	0.016504	0.016496	0.016664	0.012701	0.0062184	0.015726                                                      
KIT    	0.018402	0.02557	0.013327	0.012661	0.013834	0.012641	0.010441	0.012606	0.01296	0.010441	0.012781	0.011178	0.011462	0.013396	0.074425	0.0092296	0.021874	0.018402	0	0	0.0093952	0.01602	0.014163	0.010121	0.013249	0.015393	0.010729	0.015001	0.014634	0.014237	0.014797	0.015057	0.015057	0.014082	0.008941	0.015059	0.0091973	0.016199	0.011172	0.016097	0.015978	0.010277	0.017797	0.017236	0.017211	0.014939	0.016927	0.015659	0.0543	0.051821	0	0.01093	0.011844	0.0044565	0.0078461	0.01179	0.0067281	0	0	0.012672	0.006741	0.033577	0.01422	0.016047	0.012985	0.01176	0.0054499	0.016577                                                         
KITLG  	0.018402	0.02557	0.013327	0.012661	0.013834	0.012641	0.010441	0.012606	0.01296	0.010441	0.012781	0.011178	0.011462	0.013396	0.074425	0.0092296	0.021874	0.018402	0	0	0.0093952	0.01602	0.014163	0.010121	0.013249	0.015393	0.010729	0.015001	0.014634	0.014237	0.014797	0.015057	0.015057	0.014082	0.008941	0.015059	0.0091973	0.016199	0.011172	0.016097	0.015978	0.010277	0.017797	0.017236	0.017211	0.014939	0.016927	0.015659	0.051821	0.0543	0	0.01093	0.011844	0.0044565	0.0078461	0.01179	0.0067281	0	0	0.012672	0.006741	0.033577	0.01422	0.016047	0.012985	0.01176	0.0054499	0.016577                                                         
LTB4R  	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.43233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.56767	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
MAF    	0.0051639	0.011191	0.011262	0.010452	0.011836	0.010698	0.0084009	0.011218	0.011355	0.0084009	0.01092	0.0091181	0.0094761	0.022481	0.0087222	0.0046088	0.011733	0.0051639	0	0	0.0090808	0.017672	0.013949	0.0081629	0.052101	0.015405	0.010319	0.016788	0.014494	0.013879	0.012641	0.012766	0.012766	0.013952	0.0073155	0.014572	0.0070075	0.01847	0.008668	0.014352	0.013401	0.0080032	0.012289	0.016505	0.013511	0.012427	0.010602	0.012309	0.01093	0.01093	0	0.12597	0.011039	0.0043547	0.14225	0.011376	0.0061057	0	0	0.013069	0.0064929	0.012301	0.0133	0.017608	0.012622	0.010591	0.0048505	0.010603                                              
MMP9   	0.0073471	0.010852	0.017269	0.017323	0.019148	0.017619	0.017085	0.015956	0.019427	0.017085	0.017192	0.017774	0.017526	0.017206	0.0092931	0.0064195	0.014539	0.0073471	0	0	0.0070666	0.019301	0.016407	0.017443	0.015737	0.017582	0.014474	0.018122	0.018579	0.018038	0.016861	0.015337	0.015337	0.021314	0.013611	0.016937	0.011696	0.016679	0.013204	0.015834	0.015561	0.012815	0.014119	0.016744	0.015979	0.015687	0.013437	0.015132	0.011844	0.011844	0	0.011039	0.037338	0.0025965	0.0086131	0.050943	0.0086392	0	0	0.037866	0.0079805	0.014059	0.01684	0.019148	0.027678	0.0099762	0.0036889	0.014464                                             
MS4A2  	0.0012411	0.0017764	0.0038851	0.0035988	0.0037141	0.0027684	0.0021722	0.0046859	0.0027189	0.0021722	0.0036262	0.0023939	0.0026761	0.0024319	0.0025168	0.001308	0.0038362	0.0012411	0	0	0.27745	0.0031763	0.0040354	0.0019759	0.0027731	0.0034575	0.0019301	0.0034042	0.0046653	0.0041896	0.0040868	0.0051459	0.0051459	0.0038189	0.0015729	0.004899	0.0015892	0.0040157	0.0022389	0.0043645	0.0042055	0.0019502	0.0049862	0.013254	0.0045115	0.0039021	0.0028817	0.0041852	0.0044565	0.0044565	0	0.0043547	0.0025965	0.51563	0.0017627	0.004508	0.0013723	0	0	0.0027128	0.0013214	0.0031573	0.0042036	0.0040709	0.0025765	0.0047298	0.0015621	0.0039565
PDCD1  	0.0034141	0.0098026	0.0087785	0.0079255	0.0095854	0.0084273	0.0058188	0.0081055	0.009268	0.0058188	0.0084758	0.0065762	0.0068649	0.024275	0.0056693	0.0026788	0.0094671	0.0034141	0	0	0.005365	0.017537	0.012307	0.0056394	0.067389	0.01438	0.008494	0.016251	0.012372	0.011975	0.010383	0.009531	0.009531	0.012273	0.005265	0.01214	0.0048723	0.018537	0.0063361	0.012485	0.011296	0.0057456	0.0091791	0.01458	0.01113	0.010311	0.0079084	0.0099859	0.0078461	0.0078461	0	0.14225	0.0086131	0.0017627	0.23835	0.0082472	0.0043094	0	0	0.011152	0.0049061	0.010154	0.011222	0.017163	0.010702	0.0073963	0.0024283	0.0080863                            
PPARG  	0.0057501	0.0097075	0.014548	0.01398	0.017688	0.014204	0.011842	0.013536	0.017224	0.011842	0.013979	0.013226	0.013336	0.014206	0.0093025	0.0053127	0.013223	0.0057501	0	0	0.0095477	0.020135	0.015504	0.012013	0.014722	0.016149	0.01129	0.016871	0.017856	0.01688	0.015403	0.014399	0.014399	0.022733	0.011093	0.016178	0.0089033	0.016049	0.01062	0.014929	0.013749	0.010099	0.013149	0.017643	0.014771	0.014095	0.011333	0.013365	0.01179	0.01179	0	0.011376	0.050943	0.004508	0.0082472	0.10292	0.0071689	0	0	0.05794	0.006972	0.013374	0.015704	0.020065	0.02627	0.010934	0.0049043	0.012557                                                      
RETNLB 	0.0032761	0.0057472	0.012086	0.011358	0.010385	0.0094838	0.0079631	0.016088	0.0091533	0.0079631	0.0099531	0.0085794	0.0093578	0.0091524	0.0049322	0.0033418	0.0087797	0.0032761	0	0	0.0042036	0.013048	0.01421	0.0073712	0.0094253	0.0122	0.0092048	0.013177	0.016525	0.01455	0.012861	0.018441	0.018441	0.013136	0.0068061	0.010791	0.0064599	0.010417	0.0078536	0.01054	0.0095877	0.0075752	0.008463	0.011777	0.015072	0.011491	0.007812	0.0095203	0.0067281	0.0067281	0	0.0061057	0.0086392	0.0013723	0.0043094	0.0071689	0.39462	0	0	0.0096259	0.0068617	0.0089156	0.036087	0.013565	0.010567	0.0059701	0.00195	0.0089523                          
RNASE2 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.31674	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.36652	0.31674	0	0	0	0	0	0	0	0	0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
RNASE3 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.31674	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.31674	0.36652	0	0	0	0	0	0	0	0	0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
RORC   	0.0064461	0.013618	0.015307	0.014565	0.017508	0.014998	0.012556	0.014007	0.0169	0.012556	0.014651	0.013765	0.013875	0.016563	0.010624	0.0057772	0.014275	0.0064461	0	0	0.0073194	0.021016	0.017397	0.012525	0.017308	0.017621	0.014774	0.01835	0.019843	0.018505	0.016697	0.015611	0.015611	0.022384	0.013983	0.018352	0.011679	0.017968	0.013081	0.016378	0.015127	0.01272	0.01385	0.017049	0.016326	0.015567	0.012941	0.014857	0.012672	0.012672	0	0.013069	0.037866	0.0027128	0.011152	0.05794	0.0096259	0	0	0.046004	0.01016	0.015162	0.017054	0.020985	0.025174	0.010697	0.0041646	0.013611                                                       
SATB1  	0.0033945	0.0060986	0.0089407	0.007716	0.0091051	0.0079851	0.0056532	0.0082063	0.0076752	0.0056532	0.0080248	0.0063023	0.0066109	0.0097626	0.0050058	0.0030651	0.0089356	0.0033945	0	0	0.0040354	0.015863	0.062779	0.0053004	0.01072	0.013004	0.0081196	0.014961	0.011879	0.011712	0.013047	0.01071	0.01071	0.011672	0.0066131	0.011541	0.0068703	0.011137	0.0081833	0.010927	0.0097561	0.007968	0.0087734	0.011308	0.011472	0.012566	0.008212	0.0094694	0.006741	0.006741	0	0.0064929	0.0079805	0.0013214	0.0049061	0.006972	0.0068617	0	0	0.01016	0.4151	0.0091374	0.01421	0.015549	0.010726	0.0059673	0.0019499	0.0083455                           
STAT5A 	0.014008	0.039687	0.014527	0.01406	0.014876	0.014189	0.012286	0.013645	0.014208	0.012286	0.014022	0.012882	0.01306	0.015273	0.045087	0.015819	0.018672	0.014008	0	0	0.0077991	0.017205	0.015519	0.011925	0.01539	0.016411	0.013816	0.016165	0.016264	0.01579	0.015788	0.016378	0.016378	0.015776	0.01099	0.016573	0.010974	0.01911	0.012703	0.016636	0.016129	0.012	0.016582	0.016651	0.017541	0.015704	0.01622	0.016094	0.033577	0.033577	0	0.012301	0.014059	0.0031573	0.010154	0.013374	0.0089156	0	0	0.015162	0.0091374	0.027365	0.015513	0.017195	0.015215	0.011587	0.0050829	0.017526                                                            
STAT6  	0.0087797	0.013585	0.017059	0.016799	0.016948	0.016679	0.016288	0.018912	0.016661	0.016288	0.016876	0.016486	0.016806	0.016934	0.012507	0.0089523	0.015417	0.0087797	0	0	0.0089455	0.017256	0.017391	0.016114	0.015998	0.017268	0.017546	0.017421	0.018689	0.01797	0.01745	0.020476	0.020476	0.017429	0.014607	0.018032	0.014347	0.016698	0.015446	0.016657	0.016674	0.015171	0.016247	0.016678	0.018281	0.016695	0.015943	0.016504	0.01422	0.01422	0	0.0133	0.01684	0.0042036	0.011222	0.015704	0.036087	0	0	0.017054	0.01421	0.015513	0.019165	0.017536	0.017748	0.012327	0.0059701	0.015515                                                         
TBX21  	0.0089908	0.018545	0.015956	0.015251	0.016496	0.015437	0.013785	0.01566	0.015898	0.013785	0.015458	0.014466	0.014691	0.018145	0.015378	0.008239	0.015806	0.0089908	0	0	0.0088415	0.018505	0.017952	0.013548	0.018709	0.01789	0.019221	0.018068	0.019531	0.01855	0.017312	0.017899	0.017899	0.018434	0.014213	0.020726	0.013495	0.018279	0.014856	0.017201	0.016776	0.014449	0.016205	0.016895	0.017746	0.016594	0.015819	0.016496	0.016047	0.016047	0	0.017608	0.019148	0.0040709	0.017163	0.020065	0.013565	0	0	0.020985	0.015549	0.017195	0.017536	0.018996	0.019145	0.012604	0.0060327	0.015153                                                     
TGFB1  	0.008466	0.012777	0.016556	0.015712	0.017859	0.015994	0.01413	0.015069	0.017316	0.01413	0.015899	0.015135	0.015206	0.018542	0.01065	0.0072579	0.015559	0.008466	0	0	0.0070577	0.018882	0.017762	0.014086	0.017172	0.018588	0.018146	0.019442	0.019649	0.019177	0.01841	0.017822	0.017822	0.020944	0.016612	0.018955	0.015064	0.017739	0.016232	0.017158	0.016888	0.016106	0.015665	0.016707	0.017832	0.017049	0.015556	0.016664	0.012985	0.012985	0	0.012622	0.027678	0.0025765	0.010702	0.02627	0.010567	0	0	0.025174	0.010726	0.015215	0.017748	0.019145	0.031332	0.011082	0.0044112	0.014871                                                        
TNFRSF4	0.0068246	0.0096044	0.011172	0.010296	0.011213	0.010026	0.0083918	0.011422	0.010126	0.0083918	0.010783	0.0089402	0.009341	0.011495	0.0093572	0.0050309	0.012794	0.0068246	0	0	0.0097213	0.013326	0.01225	0.0080804	0.011507	0.012703	0.0089993	0.013259	0.012726	0.012235	0.012357	0.013611	0.013611	0.012145	0.0077435	0.012978	0.0079962	0.014229	0.0094725	0.027494	0.014228	0.0088321	0.013938	0.016804	0.014764	0.012954	0.012263	0.012701	0.01176	0.01176	0	0.010591	0.0099762	0.0047298	0.0073963	0.010934	0.0059701	0	0	0.010697	0.0059673	0.011587	0.012327	0.012604	0.011082	0.13003	0.19682	0.01081                                         
TNFSF4 	0.0024071	0.0034936	0.0051069	0.004495	0.0051277	0.004062	0.0029076	0.0052896	0.0040608	0.0029076	0.0048877	0.0032458	0.0035444	0.0046995	0.0033128	0.0016193	0.0068246	0.0024071	0	0	0.0047298	0.0069766	0.0059673	0.0026947	0.0049742	0.0064172	0.0032008	0.0069063	0.0060236	0.0057829	0.0059616	0.0065183	0.0065183	0.0057523	0.0025514	0.0061077	0.0027715	0.008015	0.0036316	0.026724	0.0079344	0.0032424	0.0068651	0.012889	0.0083455	0.0068854	0.0051998	0.0062184	0.0054499	0.0054499	0	0.0048505	0.0036889	0.0015621	0.0024283	0.0049043	0.00195	0	0	0.0041646	0.0019499	0.0050829	0.0059701	0.0060327	0.0044112	0.19682	0.48405	0.0050309   
TSLP   	0.0087738	0.015873	0.017388	0.019047	0.016904	0.019025	0.019169	0.016645	0.017296	0.019169	0.017638	0.018706	0.018401	0.015006	0.016901	0.080312	0.015214	0.0087738	0	0	0.0083368	0.01541	0.014751	0.01865	0.013425	0.01561	0.012249	0.015301	0.015165	0.015186	0.016218	0.015901	0.015901	0.015009	0.012987	0.015539	0.01345	0.015236	0.014428	0.015074	0.015744	0.014141	0.015605	0.01571	0.015962	0.016126	0.015404	0.015726	0.016577	0.016577	0	0.010603	0.014464	0.0039565	0.0080863	0.012557	0.0089523	0	0	0.013611	0.0083455	0.017526	0.015515	0.015153	0.014871	0.01081	0.0050309	0.028875                                                     
