       	BCL6   	CCL11  	CCL17  	CCL2   	CCL22  	CCL24  	CCL26  	CCL5   	CCL8   	CCR3   	CCR4   	CCR8   	CD40LG 	CMA1   	CRLF2  	CSF2   	CSF3R  	FCER1A 	FOXP3  	GATA3  	ICOS   	IFNG   	IFNGR2 	IL10   	IL12A  	IL12B  	IL13   	IL13RA1	IL13RA2	IL17A  	IL17RB 	IL18   	IL1RL1 	IL21   	IL25   	IL2RA  	IL3    	IL33   	IL3RA  	IL4    	IL4R   	IL5    	IL5RA  	IL9    	KIT    	KITLG  	MAF    	MMP9   	MS4A2  	PDCD1  	PPARG  	RETNLB 	RORC   	SATB1  	STAT5A 	STAT6  	TBX21  	TGFB1  	TNFRSF4	TNFSF4 	TSLP   
IL5    	0.010229	0.017415	0.01606	0.016892	0.015586	0.011147	0.017032	0.016228	0.011147	0.016058	0.015825	0.015825	0.014865	0.012173	0.018858	0.018985	0.01466	0	0.01749	0.017889	0.015001	0.017458	0.014964	0.017581	0.01729	0.017078	0.018416	0.0183	0.0183	0.018163	0.024852	0.018024	0.026204	0.016824	0.026178	0.017997	0.02127	0.026178	0.025964	0.017794	0.017901	0.02065	0.025964	0.019589	0.01419	0.013791	0.012413	0.015383	0	0.010947	0.012208	0.012154	0.017077	0.014216	0.016001	0.017488	0.017257	0.016408	0.010686	0.0053709	0.022102                                                                 
IL5RA  	0.0073272	0.017075	0.0138	0.017024	0.013152	0.0071543	0.014185	0.016123	0.0071543	0.014984	0.013728	0.013728	0.013236	0.013317	0.0088949	0.027953	0.024856	0	0.016863	0.017578	0.01271	0.018309	0.012401	0.018097	0.015452	0.015958	0.020289	0.017025	0.017025	0.016498	0.013134	0.017075	0.012039	0.016396	0.016156	0.021208	0.035237	0.016156	0.058761	0.018362	0.01807	0.025964	0.065499	0.024704	0.017756	0.014726	0.0098767	0.013128	0	0.0076844	0.0086937	0.0080009	0.013194	0.0088035	0.017567	0.016874	0.016168	0.014985	0.010167	0.0039887	0.017731                                                 
IL9    	0.019631	0.021246	0.01871	0.018939	0.018214	0.010095	0.018435	0.018251	0.010095	0.017486	0.019252	0.019252	0.016222	0.013508	0.0091098	0.020369	0.017269	0	0.018927	0.018656	0.017064	0.018802	0.014857	0.018893	0.01869	0.018463	0.020353	0.020692	0.020692	0.017988	0.011824	0.020175	0.0098452	0.020274	0.012567	0.019462	0.022503	0.012567	0.024704	0.019381	0.019869	0.019589	0.024704	0.023302	0.015771	0.015407	0.014947	0.015941	0	0.011851	0.01165	0.011549	0.017177	0.011186	0.017604	0.019119	0.018779	0.017112	0.010234	0.0043546	0.01639                                                        
KIT    	0.0055915	0.012219	0.010518	0.013355	0.0097526	0.0042626	0.011057	0.0125	0.0042626	0.010825	0.0099003	0.0099003	0.010696	0.11193	0.0034107	0.024682	0.020062	0	0.018722	0.014	0.010946	0.016481	0.010416	0.014982	0.014362	0.013953	0.015284	0.014694	0.014694	0.01332	0.0052311	0.014817	0.0033818	0.013649	0.0054931	0.016006	0.016935	0.0054931	0.017756	0.017243	0.019771	0.01419	0.017756	0.015771	0.098818	0.089885	0.0086312	0.0096863	0	0.0062003	0.0060328	0.0058642	0.013523	0.0057945	0.054886	0.014068	0.0173	0.011386	0.0062007	0.0021222	0.0093319                                             
KITLG  	0.0062665	0.012711	0.011296	0.013327	0.010247	0.0049043	0.012862	0.012161	0.0049043	0.011341	0.010206	0.010206	0.010492	0.11034	0.0048993	0.02269	0.012719	0	0.018908	0.014438	0.011082	0.016519	0.010824	0.014995	0.015469	0.014533	0.015443	0.015891	0.015891	0.013525	0.0052325	0.01572	0.0032921	0.013973	0.0052981	0.015748	0.015794	0.0052981	0.014726	0.018082	0.020219	0.013791	0.014726	0.015407	0.089885	0.095807	0.012757	0.0094988	0	0.0060822	0.0058565	0.0067292	0.014052	0.0065227	0.054037	0.014715	0.017735	0.011375	0.0058941	0.0019539	0.0107                                             
MAF    	0.0058039	0.014344	0.0134	0.012565	0.0098384	0.0054541	0.017074	0.0095354	0.0054541	0.012339	0.010219	0.010219	0.0074063	0.0076919	0.0068134	0.012098	0.0052221	0	0.011432	0.013451	0.0082868	0.011833	0.008331	0.011682	0.015917	0.013967	0.01433	0.017027	0.017027	0.011588	0.0045205	0.016002	0.0028951	0.012835	0.0046885	0.012985	0.013605	0.0046885	0.0098767	0.029439	0.014877	0.012413	0.0098767	0.014947	0.0086312	0.012757	0.38866	0.0078234	0	0.00412	0.0045517	0.0063193	0.0091243	0.0060581	0.01059	0.014156	0.013187	0.0089935	0.0046777	0.0015358	0.014813                                    
MMP9   	0.0077256	0.018178	0.018567	0.024836	0.019615	0.0095244	0.013893	0.02709	0.0095244	0.017366	0.022644	0.022644	0.019062	0.0076848	0.0034461	0.016291	0.0088341	0	0.017494	0.015489	0.01585	0.019027	0.014343	0.019791	0.016122	0.017745	0.018757	0.014883	0.014883	0.024254	0.01236	0.016485	0.0080205	0.015879	0.0096114	0.015377	0.015393	0.0096114	0.013128	0.015941	0.015989	0.015383	0.013128	0.015941	0.0096863	0.0094988	0.0078234	0.057149	0	0.012459	0.093179	0.0071498	0.019573	0.0068752	0.013433	0.016034	0.017216	0.045315	0.0056411	0.0017987	0.0093571                                         
MS4A2  	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.43233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.56767	0	0	0	0	0	0	0	0	0	0	0	0                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
PDCD1  	0.012497	0.0098945	0.0090922	0.013478	0.0096661	0.0035766	0.0078056	0.023135	0.0035766	0.01019	0.010973	0.010973	0.095778	0.004869	0.001516	0.011994	0.0045113	0	0.016139	0.013335	0.096695	0.017821	0.010578	0.024708	0.013833	0.014691	0.012369	0.0093981	0.0093981	0.014972	0.0045464	0.01329	0.0022755	0.025076	0.0037775	0.013911	0.010689	0.0037775	0.0076844	0.011573	0.012663	0.010947	0.0076844	0.011851	0.0062003	0.0060822	0.00412	0.012459	0	0.23424	0.0072428	0.0045721	0.013609	0.0050216	0.011097	0.012333	0.021287	0.013461	0.0044234	0.0012501	0.0053962                                    
PPARG  	0.0045519	0.01218	0.011066	0.023878	0.011753	0.0046092	0.0085872	0.025853	0.0046092	0.012392	0.014914	0.014914	0.014518	0.0044216	0.0017826	0.012993	0.0050737	0	0.014534	0.012256	0.011402	0.017377	0.010162	0.019147	0.011704	0.014044	0.017546	0.011058	0.011058	0.02788	0.0095729	0.012842	0.0045999	0.012507	0.0060139	0.012084	0.011606	0.0060139	0.0086937	0.012265	0.012669	0.012208	0.0086937	0.01165	0.0060328	0.0058565	0.0045517	0.093179	0	0.0072428	0.22581	0.0044285	0.015456	0.0044495	0.0098673	0.012225	0.013963	0.078582	0.0036214	0.00097475	0.0060786                                   
RETNLB 	0.0037574	0.01573	0.015558	0.01101	0.010376	0.0043755	0.021102	0.009117	0.0043755	0.011269	0.010551	0.010551	0.0082496	0.0049014	0.0025329	0.010049	0.0037461	0	0.014663	0.016295	0.0086558	0.013061	0.009749	0.014049	0.012203	0.015642	0.015461	0.021446	0.021446	0.010575	0.0040653	0.012127	0.0026596	0.010188	0.0044474	0.011367	0.010673	0.0044474	0.0080009	0.014156	0.017627	0.012154	0.0080009	0.011549	0.0058642	0.0067292	0.0063193	0.0071498	0	0.0045721	0.0044285	0.39802	0.010223	0.0078556	0.0099811	0.041219	0.014136	0.0095032	0.0036473	0.0010589	0.0073335                                
RORC   	0.015425	0.014395	0.012682	0.015921	0.011822	0.0050481	0.013923	0.014681	0.0050481	0.012881	0.011667	0.011667	0.017149	0.012701	0.0039677	0.016075	0.0070023	0	0.032849	0.021867	0.02164	0.019994	0.015799	0.021535	0.022627	0.020396	0.018124	0.016669	0.016669	0.030705	0.016239	0.021836	0.010236	0.024396	0.011834	0.019606	0.016377	0.011834	0.013194	0.017959	0.018622	0.017077	0.013194	0.017177	0.013523	0.014052	0.0091243	0.019573	0	0.013609	0.015456	0.010223	0.08962	0.012902	0.020037	0.018928	0.029076	0.021348	0.0083392	0.0029747	0.010703                                                  
SATB1  	0.0043196	0.010033	0.0082357	0.0095025	0.0064296	0.0028261	0.0098511	0.007349	0.0028261	0.0080819	0.0065323	0.0065323	0.0083446	0.0047932	0.0028184	0.0101	0.0037873	0	0.018901	0.072106	0.010012	0.011466	0.0070061	0.016127	0.011272	0.011862	0.015689	0.012429	0.012429	0.011858	0.0048759	0.012373	0.003317	0.011414	0.005467	0.011632	0.010869	0.005467	0.0088035	0.013451	0.012487	0.014216	0.0088035	0.011186	0.0057945	0.0065227	0.0060581	0.0068752	0	0.0050216	0.0044495	0.0078556	0.012902	0.42092	0.009968	0.016295	0.016912	0.0098301	0.0037096	0.0010605	0.007946                              
STAT5A 	0.0097262	0.015263	0.01378	0.015829	0.013079	0.0062939	0.014591	0.014945	0.0062939	0.013491	0.013157	0.013157	0.01484	0.065319	0.0046161	0.021309	0.016073	0	0.020393	0.017199	0.015636	0.018297	0.015852	0.017686	0.018675	0.017663	0.017822	0.018753	0.018753	0.016736	0.0078877	0.01875	0.0053576	0.017043	0.0076515	0.017825	0.018016	0.0076515	0.017567	0.018376	0.02077	0.016001	0.017567	0.017604	0.054886	0.054037	0.01059	0.013433	0	0.011097	0.0098673	0.0099811	0.020037	0.009968	0.037378	0.017163	0.01958	0.015209	0.0086397	0.0035474	0.011293                                                 
STAT6  	0.010188	0.020374	0.020332	0.018905	0.019488	0.011269	0.02444	0.018071	0.011269	0.018328	0.019585	0.019585	0.016456	0.012772	0.0073335	0.017506	0.010049	0	0.019122	0.019632	0.016571	0.018978	0.018954	0.018932	0.020385	0.020088	0.020183	0.024125	0.024125	0.0176	0.0099335	0.020432	0.007641	0.017543	0.0099839	0.017966	0.018413	0.0099839	0.016874	0.019457	0.021169	0.017488	0.016874	0.019119	0.014068	0.014715	0.014156	0.016034	0	0.012333	0.012225	0.041219	0.018928	0.016295	0.017163	0.022259	0.019275	0.017207	0.0087785	0.0036473	0.014176                                                    
TBX21  	0.017834	0.017393	0.016144	0.017846	0.01556	0.0078706	0.017419	0.017267	0.0078706	0.015526	0.015719	0.015719	0.020855	0.016939	0.0062037	0.017695	0.0099945	0	0.021947	0.020155	0.022879	0.019831	0.021282	0.020194	0.024244	0.021323	0.019336	0.019762	0.019762	0.020369	0.011339	0.02309	0.0081626	0.021065	0.010299	0.018756	0.018134	0.010299	0.016168	0.018879	0.019867	0.017257	0.016168	0.018779	0.0173	0.017735	0.013187	0.017216	0	0.021287	0.013963	0.014136	0.029076	0.016912	0.01958	0.019275	0.022236	0.018732	0.009267	0.0038318	0.013067                                                      
TGFB1  	0.009333	0.016831	0.015634	0.021389	0.015787	0.0074767	0.014401	0.021958	0.0074767	0.015491	0.017342	0.017342	0.018406	0.0096503	0.0044151	0.016777	0.0092324	0	0.018994	0.017314	0.017322	0.019387	0.017078	0.020302	0.018119	0.018712	0.019595	0.017706	0.017706	0.023618	0.013002	0.018982	0.0089803	0.017411	0.010756	0.016879	0.016875	0.010756	0.014985	0.016842	0.017958	0.016408	0.014985	0.017112	0.011386	0.011375	0.0089935	0.045315	0	0.013461	0.078582	0.0095032	0.021348	0.0098301	0.015209	0.017207	0.018732	0.041297	0.0074176	0.0027974	0.01082                                             
TNFRSF4	0.0069772	0.0071047	0.0058488	0.0074224	0.0054416	0.002381	0.0063783	0.0066518	0.002381	0.0063433	0.0052286	0.0052286	0.0070976	0.0048063	0.0022665	0.01119	0.0056575	0	0.012667	0.0089824	0.0080639	0.010389	0.0062454	0.011205	0.0080454	0.0082955	0.0095032	0.0089488	0.0089488	0.008986	0.0039095	0.0083837	0.0027098	0.013173	0.0043306	0.039595	0.013488	0.0043306	0.010167	0.0098428	0.012796	0.010686	0.010167	0.010234	0.0062007	0.0058941	0.0046777	0.0056411	0	0.0044234	0.0036214	0.0036473	0.0083392	0.0037096	0.0086397	0.0087785	0.009267	0.0074176	0.26644	0.28469	0.0061218                 
TNFSF4 	0.0023949	0.0025242	0.0019597	0.0028426	0.0017902	0.00064986	0.0021639	0.0024135	0.00064986	0.002381	0.0015754	0.0015754	0.0026049	0.0014086	0.00060622	0.0056575	0.0019199	0	0.0066492	0.0037096	0.0030685	0.005111	0.0020796	0.0056741	0.0029297	0.003214	0.0040384	0.0033839	0.0033839	0.0038077	0.0012003	0.0030917	0.00073108	0.0069772	0.0014858	0.033229	0.007116	0.0014858	0.0039887	0.0046777	0.0067371	0.0053709	0.0039887	0.0043546	0.0021222	0.0019539	0.0015358	0.0017987	0	0.0012501	0.00097475	0.0010589	0.0029747	0.0010605	0.0035474	0.0036473	0.0038318	0.0027974	0.28469	0.51789	0.0022665
TSLP   	0.0061727	0.013704	0.01225	0.012528	0.010555	0.0065594	0.014587	0.010839	0.0065594	0.012665	0.010635	0.010635	0.0091281	0.0078104	0.19493	0.014372	0.0074907	0	0.012718	0.014593	0.0095116	0.013175	0.0093756	0.01336	0.013903	0.013184	0.014937	0.015118	0.015118	0.013218	0.010984	0.014467	0.010163	0.01274	0.013487	0.014407	0.016747	0.013487	0.017731	0.019038	0.014283	0.022102	0.017731	0.01639	0.0093319	0.0107	0.014813	0.0093571	0	0.0053962	0.0060786	0.0073335	0.010703	0.007946	0.011293	0.014176	0.013067	0.01082	0.0061218	0.0022665	0.12721                                                 
