       	ADAM33 	ALOX5  	ARG1   	BCL6   	CCL11  	CCL17  	CCL2   	CCL22  	CCL24  	CCL26  	CCL5   	CCL8   	CCR3   	CCR4   	CCR8   	CD40LG 	CLC    	CLCA1  	CMA1   	CRLF2  	CSF2   	CSF3R  	CYSLTR1	EPX    	FCER1A 	FOXP3  	GATA3  	GPR44  	ICOS   	IFNG   	IFNGR2 	IL10   	IL12A  	IL12B  	IL13   	IL13RA1	IL13RA2	IL17A  	IL17RB 	IL18   	IL1RL1 	IL21   	IL25   	IL2RA  	IL3    	IL33   	IL3RA  	IL4    	IL4R   	IL5    	IL5RA  	IL9    	KIT    	KITLG  	LTB4R  	MAF    	MMP9   	MS4A2  	PDCD1  	POSTN  	PPARG  	RETNLB 	RNASE2 	RNASE3 	RORC   	SATB1  	STAT5A 	STAT6  	TBX21  	TGFB1  	TNFRSF4	TNFSF4 	TSLP   
IL12A  	0.009619	0.012354	0.0049803	0.014514	0.015047	0.015482	0.015726	0.015544	0.014562	0.015077	0.015556	0.014383	0.015201	0.015263	0.015004	0.015824	0.0033364	0.0073985	0.010945	0.01216	0.015169	0.012488	0.0098272	0.0033364	0.0081832	0.016296	0.015988	0.014657	0.016165	0.016306	0.028375	0.016038	0.018698	0.017495	0.015396	0.015915	0.015915	0.015979	0.014614	0.015633	0.01596	0.01574	0.015033	0.015304	0.015215	0.015652	0.015256	0.015326	0.015341	0.01518	0.014706	0.01503	0.014812	0.013563	0.0098272	0.01575	0.016019	0.0038599	0.01569	0.0030479	0.016006	0.0096304	0.0033364	0.0074936	0.016918	0.015239	0.015021	0.015739	0.01642	0.015906	0.011154	0.005333	0.015044                                                                     
IL12B  	0.011996	0.01264	0.0046436	0.014711	0.015086	0.015492	0.015642	0.015561	0.014974	0.015274	0.015559	0.014837	0.015332	0.015418	0.015257	0.015687	0.0038466	0.0084156	0.011382	0.012539	0.015148	0.012776	0.010347	0.0038466	0.0080601	0.015971	0.015752	0.015018	0.015816	0.015973	0.023823	0.015772	0.017495	0.016758	0.015354	0.016078	0.016078	0.015766	0.014914	0.015505	0.015874	0.01558	0.015241	0.015216	0.015225	0.01565	0.015335	0.015217	0.01542	0.015166	0.014966	0.015042	0.014938	0.013726	0.010347	0.015327	0.015888	0.003783	0.015138	0.004059	0.01583	0.0091503	0.0038466	0.0078853	0.016417	0.015245	0.015022	0.015528	0.016033	0.015719	0.011159	0.0054043	0.015078                                                                     
IL13   	0.011211	0.013128	0.0040203	0.01463	0.014875	0.015214	0.015262	0.01521	0.014812	0.015015	0.015217	0.014705	0.015061	0.015102	0.015028	0.015261	0.0041517	0.018524	0.012197	0.013481	0.014992	0.013188	0.011337	0.0041517	0.0078306	0.015283	0.015296	0.014868	0.015085	0.01523	0.015276	0.015197	0.015396	0.015354	0.015567	0.016644	0.016644	0.015343	0.015753	0.015254	0.015853	0.015202	0.015815	0.01488	0.015084	0.015822	0.0152	0.014907	0.015165	0.014958	0.015224	0.014971	0.014953	0.013948	0.011337	0.014458	0.015584	0.0036418	0.013935	0.014917	0.015439	0.0083309	0.0041517	0.0080462	0.015553	0.014987	0.014852	0.015089	0.015297	0.015395	0.010897	0.005277	0.015037                                                                       
IL13RA1	0.018254	0.011751	0.0061367	0.013173	0.014946	0.015293	0.015226	0.014819	0.013582	0.014873	0.014847	0.013221	0.014614	0.014408	0.014217	0.015107	0.0030628	0.010566	0.010405	0.011341	0.014848	0.011248	0.0091232	0.0030628	0.0093175	0.015365	0.015616	0.013709	0.01479	0.015471	0.014856	0.015536	0.015915	0.016078	0.016644	0.038172	0.019856	0.015344	0.013423	0.015385	0.015086	0.015169	0.015074	0.015309	0.015075	0.015634	0.015945	0.015995	0.018285	0.014855	0.014262	0.01515	0.014846	0.013218	0.0091232	0.013998	0.015334	0.0045375	0.012713	0.0053776	0.014975	0.0117	0.0030628	0.0071851	0.014788	0.015011	0.014575	0.017182	0.015548	0.01527	0.011632	0.0055836	0.014897                                                                   
IL13RA2	0.018254	0.011751	0.0061367	0.013173	0.014946	0.015293	0.015226	0.014819	0.013582	0.014873	0.014847	0.013221	0.014614	0.014408	0.014217	0.015107	0.0030628	0.010566	0.010405	0.011341	0.014848	0.011248	0.0091232	0.0030628	0.0093175	0.015365	0.015616	0.013709	0.01479	0.015471	0.014856	0.015536	0.015915	0.016078	0.016644	0.019856	0.038172	0.015344	0.013423	0.015385	0.015086	0.015169	0.015074	0.015309	0.015075	0.015634	0.015945	0.015995	0.018285	0.014855	0.014262	0.01515	0.014846	0.013218	0.0091232	0.013998	0.015334	0.0045375	0.012713	0.0053776	0.014975	0.0117	0.0030628	0.0071851	0.014788	0.015011	0.014575	0.017182	0.015548	0.01527	0.011632	0.0055836	0.014897                                                                   
IL17A  	0.0092808	0.013311	0.0038166	0.015341	0.015212	0.015488	0.015628	0.015582	0.015128	0.015277	0.015623	0.015036	0.01539	0.015465	0.01535	0.015707	0.0041699	0.0081485	0.012233	0.013284	0.015323	0.013795	0.01134	0.0041699	0.0077232	0.01585	0.015833	0.01521	0.015858	0.015637	0.016308	0.015643	0.015979	0.015766	0.015343	0.015344	0.015344	0.01594	0.017969	0.01567	0.016813	0.015717	0.016458	0.015189	0.015345	0.016334	0.015342	0.015158	0.015008	0.015375	0.015353	0.01523	0.01514	0.014161	0.01134	0.015614	0.016106	0.0034989	0.01541	0.0038149	0.016511	0.0080977	0.0041699	0.008192	0.017128	0.015447	0.015243	0.015223	0.015893	0.015804	0.010929	0.0051789	0.015259                                                                         
IL17RB 	0.0067274	0.011878	0.0020232	0.01401	0.015804	0.014706	0.015022	0.01465	0.013498	0.013891	0.014898	0.012827	0.014328	0.013991	0.013918	0.014765	0.0041212	0.0068644	0.010342	0.010081	0.014498	0.010248	0.0089113	0.0041212	0.0055898	0.014925	0.015154	0.014005	0.014535	0.014884	0.012471	0.014777	0.014614	0.014914	0.015753	0.013423	0.013423	0.017969	0.07925	0.015606	0.017672	0.015053	0.03545	0.014201	0.014471	0.020515	0.014034	0.014335	0.01409	0.016874	0.014763	0.01588	0.013181	0.012856	0.0089113	0.012076	0.015182	0.0019273	0.011131	0.0025699	0.015121	0.0057708	0.0041212	0.0085834	0.015196	0.014164	0.014083	0.014519	0.015079	0.014887	0.0084625	0.0030498	0.014371                                                                
IL18   	0.0091219	0.015418	0.0040941	0.014752	0.014961	0.015295	0.015456	0.015344	0.014822	0.015063	0.015406	0.014673	0.015171	0.015171	0.01507	0.015647	0.0039034	0.0083908	0.015069	0.012571	0.015394	0.013601	0.014873	0.0039034	0.007881	0.015555	0.015746	0.014904	0.015534	0.015457	0.015434	0.015472	0.015633	0.015505	0.015254	0.015385	0.015385	0.01567	0.015606	0.015866	0.01762	0.015453	0.015923	0.015118	0.015385	0.016613	0.015403	0.015084	0.014922	0.01528	0.01549	0.015348	0.015404	0.015303	0.014873	0.015108	0.015746	0.0036617	0.014723	0.0040523	0.015601	0.0083698	0.0039034	0.0079432	0.015898	0.015388	0.015082	0.015113	0.015615	0.015745	0.010992	0.0052781	0.015102                                                                   
IL1RL1 	0.0077009	0.013467	0.0028463	0.014517	0.015173	0.015341	0.015746	0.015284	0.014094	0.014729	0.015472	0.013666	0.014956	0.014788	0.014587	0.016031	0.0038171	0.007607	0.01165	0.011148	0.015337	0.011679	0.010653	0.0038171	0.0070959	0.015991	0.017917	0.014342	0.01611	0.01579	0.014541	0.015967	0.01596	0.015874	0.015853	0.015086	0.015086	0.016813	0.017672	0.01762	0.028121	0.015748	0.018011	0.015143	0.015243	0.021388	0.015108	0.015473	0.01492	0.01595	0.014989	0.015328	0.014587	0.013912	0.010653	0.016312	0.015956	0.0027928	0.014749	0.0030822	0.015763	0.0071876	0.0038171	0.008038	0.016293	0.018013	0.014853	0.015503	0.01632	0.015855	0.010036	0.0040283	0.015003                                                                       
IL21   	0.0092595	0.013527	0.0030421	0.020257	0.014964	0.015324	0.015455	0.015421	0.014713	0.014956	0.015424	0.014719	0.015165	0.015166	0.015005	0.015714	0.0038021	0.0080924	0.012617	0.015234	0.015465	0.014522	0.011746	0.0038021	0.0078374	0.015857	0.015604	0.014817	0.015933	0.015562	0.015412	0.015602	0.01574	0.01558	0.015202	0.015169	0.015169	0.015717	0.015053	0.015453	0.015748	0.016216	0.015302	0.015423	0.015578	0.015579	0.015652	0.015142	0.015003	0.015331	0.015946	0.015308	0.015632	0.014431	0.011746	0.015655	0.015876	0.003615	0.015598	0.0038318	0.01644	0.0072594	0.0038021	0.0078618	0.017522	0.015077	0.015764	0.015044	0.015908	0.015709	0.011916	0.0063936	0.015596                                                                 
IL25   	0.0085463	0.013129	0.0026044	0.014386	0.015727	0.015382	0.015486	0.015379	0.014772	0.014952	0.015441	0.014411	0.015186	0.015085	0.015075	0.015332	0.0052544	0.0094385	0.0121	0.011693	0.015049	0.011555	0.010869	0.0052544	0.0066636	0.015261	0.015446	0.015069	0.014781	0.015285	0.013419	0.015155	0.015033	0.015241	0.015815	0.015074	0.015074	0.016458	0.03545	0.015923	0.018011	0.015302	0.025295	0.014804	0.015144	0.019553	0.014932	0.01488	0.014814	0.015974	0.015738	0.015767	0.014429	0.013876	0.010869	0.012929	0.015597	0.002601	0.011905	0.0047526	0.015375	0.0067088	0.0052544	0.0093102	0.015198	0.014654	0.014678	0.014995	0.015322	0.015342	0.0097367	0.0039719	0.015027                                                                 
IL2RA  	0.011896	0.013581	0.0029572	0.015656	0.014636	0.015026	0.015137	0.015065	0.014468	0.014744	0.015093	0.014453	0.014913	0.014845	0.014738	0.015485	0.0037134	0.0072671	0.01283	0.01423	0.015297	0.014949	0.012046	0.0037134	0.0081285	0.01532	0.015121	0.014552	0.01522	0.015223	0.014951	0.015232	0.015304	0.015216	0.01488	0.015309	0.015309	0.015189	0.014201	0.015118	0.015143	0.015423	0.014804	0.015945	0.015464	0.015137	0.016052	0.015174	0.015096	0.014925	0.015945	0.0151	0.015931	0.014429	0.012046	0.014658	0.015381	0.003827	0.014329	0.0030777	0.015396	0.0070955	0.0037134	0.0076647	0.015634	0.014797	0.015241	0.014764	0.015306	0.015336	0.020991	0.019963	0.015197                                                                       
IL3    	0.0096454	0.015228	0.0027337	0.015923	0.014906	0.015326	0.015395	0.015413	0.01508	0.015132	0.015422	0.01513	0.01532	0.015256	0.015223	0.015658	0.0038187	0.007921	0.015046	0.015821	0.015785	0.015618	0.014656	0.0038187	0.0079526	0.015397	0.01511	0.015129	0.015109	0.015375	0.014477	0.015288	0.015215	0.015225	0.015084	0.015075	0.015075	0.015345	0.014471	0.015385	0.015243	0.015578	0.015144	0.015464	0.015991	0.0153	0.016381	0.01507	0.015009	0.015252	0.018134	0.015618	0.016836	0.015604	0.014656	0.014015	0.01563	0.0037219	0.013439	0.0037064	0.015469	0.0068363	0.0038187	0.007856	0.015502	0.014699	0.015669	0.014838	0.01536	0.015668	0.012163	0.0066477	0.015693                                                                        
IL33   	0.0085287	0.013446	0.002891	0.014559	0.01532	0.015403	0.015634	0.015366	0.014459	0.014919	0.015471	0.014121	0.015109	0.015001	0.014878	0.01575	0.0040637	0.0094002	0.012066	0.011789	0.015278	0.012047	0.011049	0.0040637	0.0081633	0.015674	0.016436	0.014682	0.015487	0.015587	0.014493	0.015608	0.015652	0.01565	0.015822	0.015634	0.015634	0.016334	0.020515	0.016613	0.021388	0.015579	0.019553	0.015137	0.0153	0.019969	0.015267	0.015296	0.015043	0.015713	0.015316	0.015465	0.014848	0.01406	0.011049	0.014664	0.015886	0.0038465	0.01357	0.0047161	0.015716	0.0071915	0.0040637	0.0082478	0.015915	0.01602	0.014886	0.015322	0.015846	0.015714	0.010746	0.0049585	0.015112                                                                      
IL3RA  	0.014017	0.014478	0.0025894	0.015401	0.014791	0.015172	0.015323	0.015155	0.014284	0.014717	0.015236	0.01427	0.015021	0.014761	0.014664	0.015826	0.0036655	0.0071022	0.013833	0.013923	0.015992	0.015612	0.013127	0.0036655	0.0086962	0.015411	0.015187	0.014439	0.01508	0.015442	0.01414	0.0154	0.015256	0.015335	0.0152	0.015945	0.015945	0.015342	0.014034	0.015403	0.015108	0.015652	0.014932	0.016052	0.016381	0.015267	0.018543	0.015392	0.015798	0.01524	0.017136	0.015631	0.018869	0.015511	0.013127	0.013892	0.01558	0.0042229	0.013053	0.0028443	0.01534	0.0067248	0.0036655	0.0077061	0.015221	0.015009	0.015736	0.014987	0.015409	0.015716	0.01375	0.0080293	0.015592                                                                         
IL4    	0.010637	0.013327	0.0037595	0.014504	0.014683	0.015067	0.015121	0.01508	0.014854	0.015068	0.01509	0.014746	0.015022	0.015029	0.014965	0.015229	0.0039318	0.0078306	0.012534	0.013207	0.014932	0.0131	0.011831	0.0039318	0.015299	0.015234	0.015489	0.014827	0.015346	0.015139	0.015199	0.015185	0.015326	0.015217	0.014907	0.015995	0.015995	0.015158	0.014335	0.015084	0.015473	0.015142	0.01488	0.015174	0.01507	0.015296	0.015392	0.015244	0.014961	0.014872	0.015039	0.014843	0.015255	0.014099	0.011831	0.015823	0.015263	0.011701	0.015245	0.0036418	0.015344	0.0079686	0.0039318	0.0078169	0.01548	0.016772	0.014808	0.014905	0.015265	0.015133	0.014866	0.011352	0.014894                                                                        
IL4R   	0.039394	0.012707	0.0044434	0.014462	0.014687	0.014939	0.014979	0.01487	0.014311	0.014707	0.014882	0.01422	0.014733	0.014686	0.014593	0.015055	0.004144	0.0084688	0.011777	0.013179	0.014844	0.013319	0.01083	0.004144	0.0080694	0.015083	0.014983	0.014388	0.014797	0.015129	0.015432	0.015123	0.015341	0.01542	0.015165	0.018285	0.018285	0.015008	0.01409	0.014922	0.01492	0.015003	0.014814	0.015096	0.015009	0.015043	0.015798	0.014961	0.017447	0.014732	0.014993	0.014901	0.015183	0.013726	0.01083	0.014051	0.015125	0.0038272	0.013535	0.0041201	0.015008	0.008872	0.004144	0.0079336	0.015044	0.014552	0.014831	0.015266	0.015114	0.015031	0.01189	0.0064801	0.014825                                                                          
IL5    	0.0097177	0.014049	0.0033962	0.016283	0.01517	0.015422	0.015411	0.015558	0.015941	0.015671	0.015532	0.015897	0.015601	0.015726	0.015775	0.015372	0.0074014	0.0075998	0.013419	0.013558	0.015134	0.01348	0.012866	0.0074014	0.0074655	0.01532	0.015366	0.01585	0.015151	0.015242	0.014685	0.015169	0.01518	0.015166	0.014958	0.014855	0.014855	0.015375	0.016874	0.01528	0.01595	0.015331	0.015974	0.014925	0.015252	0.015713	0.01524	0.014872	0.014732	0.015286	0.015868	0.015117	0.015167	0.01451	0.012866	0.014536	0.01542	0.0033444	0.014073	0.0034367	0.01532	0.0075065	0.0074014	0.010373	0.015429	0.016262	0.015093	0.014831	0.015274	0.015263	0.010921	0.0054113	0.015127                                                                         
IL5RA  	0.0082326	0.015347	0.002186	0.015503	0.014809	0.015114	0.015329	0.015132	0.014062	0.014412	0.015284	0.01392	0.015041	0.014485	0.01445	0.016125	0.0037654	0.0068025	0.015179	0.013705	0.017163	0.016078	0.013995	0.0037654	0.0065783	0.015204	0.01482	0.014324	0.014755	0.015466	0.013007	0.015234	0.014706	0.014966	0.015224	0.014262	0.014262	0.015353	0.014763	0.01549	0.014989	0.015946	0.015738	0.015945	0.018134	0.015316	0.017136	0.015039	0.014993	0.015868	0.038228	0.017431	0.017507	0.016138	0.013995	0.012588	0.015576	0.002498	0.011749	0.0026261	0.014842	0.0060667	0.0037654	0.0079095	0.014687	0.014201	0.015858	0.014673	0.015179	0.015785	0.010638	0.0045163	0.016137                                                                   
IL9    	0.011028	0.016643	0.0036763	0.015416	0.014726	0.015023	0.015123	0.01507	0.014568	0.014739	0.015099	0.014539	0.014933	0.014845	0.014784	0.015329	0.0042577	0.0080883	0.017381	0.015003	0.015529	0.014674	0.017353	0.0042577	0.0076667	0.01515	0.014936	0.014665	0.014835	0.015144	0.014427	0.015058	0.01503	0.015042	0.014971	0.01515	0.01515	0.01523	0.01588	0.015348	0.015328	0.015308	0.015767	0.0151	0.015618	0.015465	0.015631	0.014843	0.014901	0.015117	0.017431	0.015597	0.015965	0.016202	0.017353	0.013728	0.015388	0.0035455	0.013124	0.0038791	0.015264	0.007763	0.0042577	0.0081083	0.01534	0.01449	0.015313	0.014737	0.01515	0.015529	0.011523	0.0061259	0.01534                                                                            
KIT    	0.0093122	0.017473	0.0021526	0.015852	0.014444	0.014851	0.015073	0.014823	0.013732	0.014187	0.014954	0.013916	0.014689	0.01428	0.014174	0.015712	0.0029617	0.0066222	0.018054	0.015924	0.016485	0.017919	0.018318	0.0029617	0.0085718	0.015171	0.014779	0.01394	0.014714	0.015258	0.013295	0.015179	0.014812	0.014938	0.014953	0.014846	0.014846	0.01514	0.013181	0.015404	0.014587	0.015632	0.014429	0.015931	0.016836	0.014848	0.018869	0.015255	0.015183	0.015167	0.017507	0.015965	0.021566	0.017715	0.018318	0.01322	0.015488	0.0041514	0.012274	0.0025263	0.015279	0.0060352	0.0029617	0.0070686	0.01494	0.014294	0.016282	0.014574	0.015174	0.015972	0.012109	0.0060687	0.015874                                                                  
KITLG  	0.0077627	0.028742	0.0021436	0.014156	0.013398	0.013641	0.013975	0.0136	0.012594	0.012997	0.013805	0.01262	0.013468	0.013055	0.012958	0.014509	0.0031253	0.0062897	0.034706	0.013398	0.015886	0.015007	0.039475	0.0031253	0.00703	0.013979	0.013632	0.012806	0.013507	0.014178	0.012199	0.014072	0.013563	0.013726	0.013948	0.013218	0.013218	0.014161	0.012856	0.015303	0.013912	0.014431	0.013876	0.014429	0.015604	0.01406	0.015511	0.014099	0.013726	0.01451	0.016138	0.016202	0.017715	0.023257	0.039475	0.01195	0.014416	0.0032074	0.011224	0.0025195	0.013879	0.0057087	0.0031253	0.0068497	0.013618	0.013027	0.015045	0.013495	0.014014	0.015746	0.010078	0.0047536	0.014565                                                                     
LTB4R  	0.0042971	0.057699	0.00096888	0.010096	0.010197	0.010131	0.010885	0.0098728	0.0081598	0.0089572	0.010399	0.0081024	0.0098253	0.0087831	0.0086675	0.011883	0.001651	0.0037874	0.076228	0.0085413	0.015784	0.010761	0.090998	0.001651	0.0042334	0.010723	0.010206	0.0085571	0.0099176	0.011444	0.0075143	0.011247	0.0098272	0.010347	0.011337	0.0091232	0.0091232	0.01134	0.0089113	0.014873	0.010653	0.011746	0.010869	0.012046	0.014656	0.011049	0.013127	0.011831	0.01083	0.012866	0.013995	0.017353	0.018318	0.039475	0.097736	0.0075106	0.01126	0.0013774	0.0066229	0.0011369	0.0099202	0.0033552	0.001651	0.0047291	0.0092076	0.0089973	0.013325	0.0105	0.010877	0.015183	0.006535	0.0021631	0.012047                                                
MAF    	0.0067874	0.010457	0.002255	0.012572	0.013408	0.01381	0.014481	0.013667	0.011686	0.012926	0.014091	0.011285	0.013217	0.012922	0.012432	0.016382	0.0023591	0.005833	0.0086605	0.009424	0.014084	0.0097242	0.0075106	0.0023591	0.0085774	0.016292	0.02064	0.011955	0.027621	0.015416	0.013509	0.018323	0.01575	0.015327	0.014458	0.013998	0.013998	0.015614	0.012076	0.015108	0.016312	0.015655	0.012929	0.014658	0.014015	0.014664	0.013892	0.015823	0.014051	0.014536	0.012588	0.013728	0.01322	0.01195	0.0075106	0.05839	0.014202	0.0040571	0.063403	0.0020751	0.014037	0.0061768	0.0023591	0.0061815	0.015223	0.018333	0.0137	0.014782	0.016833	0.014817	0.010529	0.0047767	0.013603                                                                   
MMP9   	0.0085899	0.013375	0.0027287	0.014736	0.015598	0.015952	0.016108	0.016124	0.015739	0.015709	0.016226	0.015744	0.015914	0.016106	0.016028	0.016016	0.0036477	0.00901	0.0122	0.012934	0.015704	0.014537	0.01126	0.0036477	0.0071223	0.01611	0.015606	0.015884	0.015627	0.015916	0.015656	0.015784	0.016019	0.015888	0.015584	0.015334	0.015334	0.016106	0.015182	0.015746	0.015956	0.015876	0.015597	0.015381	0.01563	0.015886	0.01558	0.015263	0.015125	0.01542	0.015576	0.015388	0.015488	0.014416	0.01126	0.014202	0.01756	0.0028612	0.013694	0.0044799	0.018071	0.0069985	0.0036477	0.0079337	0.017704	0.014441	0.015545	0.015318	0.016022	0.016708	0.010481	0.0044419	0.015516                                                                        
MS4A2  	0.0012598	0.0020908	0.00026267	0.0020681	0.0033632	0.0035785	0.0035027	0.0028439	0.0022646	0.0036292	0.0028787	0.0020364	0.0033658	0.0025697	0.0025679	0.0030169	0.00030227	0.00098598	0.0016902	0.0016779	0.0034606	0.0016166	0.0013774	0.00030227	0.27689	0.0031207	0.0039157	0.0022699	0.0029388	0.0035308	0.0023717	0.003581	0.0038599	0.003783	0.0036418	0.0045375	0.0045375	0.0034989	0.0019273	0.0036617	0.0027928	0.003615	0.002601	0.003827	0.0037219	0.0038465	0.0042229	0.011701	0.0038272	0.0033444	0.002498	0.0035455	0.0041514	0.0032074	0.0013774	0.0040571	0.0028612	0.51545	0.0021928	0.00025103	0.0038023	0.0010259	0.00030227	0.0011268	0.0026957	0.0046489	0.0030146	0.0037595	0.0037156	0.0028353	0.0041762	0.0013851	0.0036368     
PDCD1  	0.0062714	0.0096818	0.0018642	0.011965	0.012746	0.013136	0.014109	0.013042	0.010706	0.011953	0.013714	0.010357	0.012466	0.012174	0.011581	0.016845	0.0020249	0.0052014	0.0077689	0.0086558	0.013689	0.0092667	0.0066229	0.0020249	0.0061912	0.016399	0.02011	0.011081	0.032785	0.01529	0.013138	0.020157	0.01569	0.015138	0.013935	0.012713	0.012713	0.01541	0.011131	0.014723	0.014749	0.015598	0.011905	0.014329	0.013439	0.01357	0.013053	0.015245	0.013535	0.014073	0.011749	0.013124	0.012274	0.011224	0.0066229	0.063403	0.013694	0.0021928	0.099596	0.001724	0.013216	0.0055028	0.0020249	0.0056629	0.014738	0.014699	0.013285	0.014321	0.016995	0.01472	0.0089929	0.003327	0.012946                                                              
POSTN  	0.0013774	0.0020086	0.00028674	0.0021113	0.0036832	0.0039166	0.0038796	0.0029534	0.0019731	0.0024003	0.0030792	0.0018437	0.0027727	0.0025324	0.0024642	0.0030925	0.00032775	0.27814	0.0015331	0.0017597	0.0036587	0.0016361	0.0011369	0.00032775	0.00098598	0.0031653	0.0039156	0.0021907	0.0027769	0.0037777	0.0022781	0.0037975	0.0030479	0.004059	0.014917	0.0053776	0.0053776	0.0038149	0.0025699	0.0040523	0.0030822	0.0038318	0.0047526	0.0030777	0.0037064	0.0047161	0.0028443	0.0036418	0.0041201	0.0034367	0.0026261	0.0038791	0.0025263	0.0025195	0.0011369	0.0020751	0.0044799	0.00025103	0.001724	0.51587	0.0027859	0.0011103	0.00032775	0.0012079	0.0025149	0.0023337	0.0028832	0.0040203	0.0032272	0.0044569	0.0014425	0.00036648	0.0040321
PPARG  	0.0083789	0.012457	0.0025555	0.015732	0.015678	0.015684	0.015938	0.015848	0.014973	0.015148	0.015986	0.015106	0.015508	0.01566	0.015455	0.015764	0.0043292	0.0070885	0.011064	0.014457	0.015586	0.014731	0.0099202	0.0043292	0.0081238	0.016501	0.015648	0.015255	0.015688	0.015871	0.014727	0.015745	0.016006	0.01583	0.015439	0.014975	0.014975	0.016511	0.015121	0.015601	0.015763	0.01644	0.015375	0.015396	0.015469	0.015716	0.01534	0.015344	0.015008	0.01532	0.014842	0.015264	0.015279	0.013879	0.0099202	0.014037	0.018071	0.0038023	0.013216	0.0027859	0.022132	0.0067299	0.0043292	0.0084162	0.022652	0.014462	0.015931	0.015243	0.016556	0.016455	0.010841	0.0049784	0.015614                                                                
RETNLB 	0.0044434	0.0049933	0.27927	0.0054749	0.0078723	0.0083427	0.0075038	0.0071887	0.0064033	0.0088994	0.0071653	0.0058621	0.0070656	0.0070832	0.0068357	0.007126	0.0012116	0.0031967	0.0041218	0.0042196	0.0068865	0.0042553	0.0033552	0.0012116	0.0029962	0.0084845	0.008747	0.0062751	0.0071719	0.0081612	0.0075793	0.0083394	0.0096304	0.0091503	0.0083309	0.0117	0.0117	0.0080977	0.0057708	0.0083698	0.0071876	0.0072594	0.0067088	0.0070955	0.0068363	0.0071915	0.0067248	0.0079686	0.008872	0.0075065	0.0060667	0.007763	0.0060352	0.0057087	0.0033552	0.0061768	0.0069985	0.0010259	0.0055028	0.0011103	0.0067299	0.25485	0.0012116	0.0032647	0.0070381	0.0065804	0.0067424	0.021547	0.0088043	0.0071624	0.0041972	0.0014433	0.006839                
RNASE2 	0.0014865	0.0028597	0.00033041	0.0035672	0.011587	0.0049823	0.0046725	0.005109	0.0044608	0.0043303	0.004894	0.0039191	0.0049688	0.0048293	0.0049973	0.0039585	0.20099	0.0012079	0.002046	0.0019784	0.0037277	0.0019261	0.001651	0.20099	0.0011268	0.0038452	0.0037681	0.0054132	0.003534	0.0042097	0.0024583	0.0038197	0.0033364	0.0038466	0.0041517	0.0030628	0.0030628	0.0041699	0.0041212	0.0039034	0.0038171	0.0038021	0.0052544	0.0037134	0.0038187	0.0040637	0.0036655	0.0039318	0.004144	0.0074014	0.0037654	0.0042577	0.0029617	0.0031253	0.001651	0.0023591	0.0036477	0.00030227	0.0020249	0.00032775	0.0043292	0.0012116	0.2193	0.13611	0.0031177	0.0036585	0.0036083	0.0041459	0.0037574	0.0033129	0.0017488	0.00047894	0.0038874             
RNASE3 	0.004144	0.0063475	0.0012116	0.0076773	0.013416	0.0089982	0.0087024	0.0091844	0.0090947	0.0087534	0.0089774	0.0086819	0.0091327	0.0091657	0.0093607	0.0080677	0.13611	0.0032716	0.0053606	0.0055173	0.0077268	0.0054099	0.0047291	0.13611	0.0031073	0.0079582	0.007818	0.0097491	0.0075421	0.0081939	0.0064759	0.0078447	0.0074936	0.0078853	0.0080462	0.0071851	0.0071851	0.008192	0.0085834	0.0079432	0.008038	0.0078618	0.0093102	0.0076647	0.007856	0.0082478	0.0077061	0.0078169	0.0079336	0.010373	0.0079095	0.0081083	0.0070686	0.0068497	0.0047291	0.0061815	0.0079337	0.0011268	0.0056629	0.0012079	0.0084162	0.0032647	0.13611	0.095813	0.0074332	0.0077843	0.00761	0.0080079	0.0078357	0.0075065	0.0046266	0.0017488	0.0078949                
RORC   	0.0076795	0.012088	0.0027254	0.016994	0.015482	0.015474	0.015879	0.015657	0.013973	0.014587	0.01575	0.013964	0.015038	0.015197	0.014687	0.015984	0.0031177	0.0067653	0.010486	0.012901	0.015567	0.013002	0.0092076	0.0031177	0.0069699	0.017487	0.016265	0.014286	0.016724	0.01617	0.015939	0.016193	0.016918	0.016417	0.015553	0.014788	0.014788	0.017128	0.015196	0.015898	0.016293	0.017522	0.015198	0.015634	0.015502	0.015915	0.015221	0.01548	0.015044	0.015429	0.014687	0.01534	0.01494	0.013618	0.0092076	0.015223	0.017704	0.0026957	0.014738	0.0025149	0.022652	0.0070381	0.0031177	0.0074332	0.029051	0.0146	0.015947	0.015536	0.017762	0.016599	0.010457	0.0043188	0.015538                                                                  
SATB1  	0.0074385	0.011807	0.0024752	0.013839	0.014339	0.014745	0.014865	0.014513	0.013513	0.014531	0.014545	0.012819	0.014411	0.013938	0.013764	0.014996	0.0036585	0.0063268	0.010069	0.010329	0.014478	0.010308	0.0089973	0.0036585	0.0096637	0.015493	0.022249	0.013602	0.015612	0.015188	0.013235	0.015484	0.015239	0.015245	0.014987	0.015011	0.015011	0.015447	0.014164	0.015388	0.018013	0.015077	0.014654	0.014797	0.014699	0.01602	0.015009	0.016772	0.014552	0.016262	0.014201	0.01449	0.014294	0.013027	0.0089973	0.018333	0.014441	0.0046489	0.014699	0.0023337	0.014462	0.0065804	0.0036585	0.0077843	0.0146	0.071356	0.014098	0.015167	0.015895	0.014524	0.011393	0.0053464	0.014436                                                               
